movie_id,person_id,name,character
96159,72118,Anil Kapoor,Charandas
96159,86555,Amrita Singh,Chameli
96159,86510,Amjad Khan,Adv. Harish
96159,600251,Om Prakash,Ustad Mastram Pahelwan
96159,587092,Bharati Achrekar,"Champa, Chameli's Mother"
96159,110199,Annu Kapoor,Chhadam Lal / Chhadami
96159,601881,Ram Sethi,Nathulal
96159,35816,Jayshree T.,"Gulabo, Nathulal's Wife"
96159,1108794,Shail Chaturvedi,"Lachchuram Kaphanchi, Makhkhan's Father"
96159,141703,Rupini,"Anita, Chameli's Friend"
85013,1212003,Ricky Paull Goldin,Dirt
85013,1172,Dennis Holahan,Aric
85013,158833,Sydney Penny,Robyn
85013,192821,Rosie Marcel,Tavy
78,3,Harrison Ford,Rick Deckard
78,585,Rutger Hauer,Roy Batty
78,586,Sean Young,Rachael
78,587,Edward James Olmos,Gaff
78,588,M. Emmet Walsh,Bryant
78,589,Daryl Hannah,Pris
78,590,William Sanderson,J.F. Sebastian
78,591,Brion James,Leon Kowalski
78,592,Joe Turkel,Eldon Tyrell
78,593,Joanna Cassidy,Zhora
10567,61962,D. B. Sweeney,Aladar (voice)
10567,1981,Alfre Woodard,Plio (voice)
10567,15531,Ossie Davis,Yar (voice)
10567,7133,Max Casella,Zini (voice)
10567,17265,Hayden Panettiere,Suri (voice)
10567,67392,Samuel E. Wright,Kron (voice)
10567,25654,Julianna Margulies,Neera (voice)
10567,154693,Peter Siragusa,Bruton (voice)
10567,23709,Joan Plowright,Baylene (voice)
10567,56950,Della Reese,Eema (voice)
25,134,Jamie Foxx,Staff Sgt. Sykes
25,131,Jake Gyllenhaal,Anthony Swofford
25,132,Scott MacDonald,D.I. Fitch
25,155,Lucas Black,Kruger
25,133,Peter Sarsgaard,Alan Troy
25,10964,Laz Alonso,Ramon Escobar
25,2955,Chris Cooper,Lt. Col. Kazinski
25,49271,Brian Geraghty,Fergus O'Donnell
25,150194,Damion Poitier,Poitier
25,17697,John Krasinski,Corporal Harrigan
7511,5367,Zach Braff,Michael
7511,6857,Jacinda Barrett,Jenna
7511,1893,Casey Affleck,Chris
7511,52783,Rachel Bilson,Kim
7511,51381,Michael Weston,Izzy
7511,29020,Eric Christian Olsen,Kenny
7511,6407,Marley Shelton,Arianna
7511,52394,Lauren Lee Smith,Lisa
7511,1524,Harold Ramis,Professor Bowler
7511,10401,Blythe Danner,Anna
69668,8784,Daniel Craig,Will Atenton
69668,3489,Naomi Watts,Ann Patterson
69668,3293,Rachel Weisz,Libby Atenton
69668,20982,Marton Csokas,Jack Patterson
69668,13550,Elias Koteas,Boyce
69668,967376,Taylor Geare,Trish
69668,973135,Claire Geare,Dee Dee
69668,1001947,Rachel G. Fox,Chloe Patterson
69668,13724,Jane Alexander,Dr. Greeley
69668,56618,Brian Murray,Dr. Medlin
10549,11181,Kenneth Branagh,Prince Hamlet
10549,937,Derek Jacobi,King Claudius
10549,1666,Julie Christie,Gertrude
10549,29859,Richard Briers,Polonius
10549,204,Kate Winslet,Ophelia
10549,32357,Nicholas Farrell,Horatio
10549,17483,Michael Maloney,Laertes
10549,17328,Rufus Sewell,Fortinbras
10549,2157,Robin Williams,Osric
10549,16927,Gérard Depardieu,Reynaldo
2009,20699,Anamaria Marinca,Otilia
2009,20698,Laura Vasiliu,Gabita
2009,39959,Vlad Ivanov,Domnu' Bebe
2009,39960,Alexandru Potocean,Adi
2009,39961,Luminița Gheorghiu,Doamna Radu
2009,39962,Adi Carauleanu,Dr. Radu
2009,122784,Liliana Mocanu,Unireal Hotel receptionist
2009,145241,Doru Ana,Benzanirul
2009,85227,Ion Sapdaru,Dr. Rusu
2009,983490,Cerasela Iosifescu,Receptionist Tineretului
18070,23880,Steven Seagal,Jonathan Cold
18070,46917,Tamara Davies,Agent Amanda Stuart
18070,95638,John Pyper-Ferguson,James Donovan
18070,95639,Julian Stone,Michael Donovan
18070,95640,Nicholas Davidoff,Nicholi
18070,95641,Roman Varshavsky,Fedor
18070,95642,Noa Hegesh,Julia
18070,93719,Warren Derosa,Sergey
18070,95643,Angela Gots,Stazi
18070,49327,Don Franklin,Max Pierson
246080,9642,Jude Law,Captain Robinson
246080,1220189,Karl Davies,Liam
246080,66431,Jodie Whittaker,Chrissy
246080,1221066,Daniel Ryan,Kurston
246080,59233,Scoot McNairy,Daniels
246080,10920,Tobias Menzies,Lewis
246080,17078,Michael Smiley,Reynolds
246080,59081,David Threlfall,Peters
246080,77335,Ben Mendelsohn,Fraser
246080,23440,Konstantin Khabenskiy,Blackie
9689,1243,Woody Allen,Val
9689,3267,George Hamilton,Ed
9689,4939,Téa Leoni,Ellie
9689,23959,Debra Messing,Lori
9689,21958,Mark Rydell,Al
9689,4515,Treat Williams,Hal
9689,1986,Peter Gerety,Psychiatrist
9689,57514,Erica Leerhsen,Actress
9689,100771,Jodie Markell,
9689,56696,Isaac Mizrahi,
9967,193,Gene Hackman,Col. Cal Rhodes
9967,10430,Fred Ward,Wilkes
9967,2493,Robert Stack,MacGregor
9967,723,Patrick Swayze,Kevin Scott
9967,27540,Harold Sylvester,Johnson
9967,5177,Randall 'Tex' Cobb,Sailor
9967,29712,Tim Thomerson,Charts
9967,21484,Todd Allen,Frank Rhodes
9967,61144,Reb Brown,Blaster
9967,61145,Alice Lau Nga-Lai ,Lai Fun
10238,7569,Harriet Andersson,Agnes
10238,8742,Ingrid Thulin,Karin
10238,67521,Kari Sylwan,Anna
10238,11916,Liv Ullmann,Maria
10238,38127,Erland Josephson,David
10238,4456,Henning Moritzen,Joakim
10238,572207,Georg Årlin,Fredrik
10238,6648,Ingmar Bergman,Narrator (voice)
14745,58754,Haley Bennett,Molly Hartley
14745,4177,Jake Weber,Robert Hartley
14745,60899,Chace Crawford,Joseph Young
14745,82663,Shannon Woodward,Leah
14745,59217,Shanna Collins,Alexis
14745,82662,AnnaLynne McCord,Suzie Woods
14745,65760,Marin Hinkle,Jane Hartley
14745,42133,Nina Siemaszko,Dr. Emerson
14745,40039,Josh Stewart,Mr. Draper
14745,84698,Jessica Lowndes,Laurel
104755,21319,Sheri Moon Zombie,Heidi Hawthrone
104755,52374,Bruce Davison,Francis Matthias
104755,59673,Jeff Daniel Phillips,Herman Whitey Salvador
104755,41234,Judy Geeson,Lacy Doyle
104755,41229,Meg Foster,Margaret Morgan
104755,13475,Patricia Quinn,Megan
104755,15070,Ken Foree,Herman Jackson
104755,62001,Dee Wallace,Sonny
104755,2051,María Conchita Alonso,Alice Matthias
104755,65748,Richard Fancy,AJ Kennedy
6538,31,Tom Hanks,Charlie Wilson
6538,1233,Philip Seymour Hoffman,Gust Avrakotos
6538,1204,Julia Roberts,Joanne Herring
6538,9273,Amy Adams,Bonnie Bach
6538,11851,Om Puri,President Zia
6538,50346,Shiri Appleby,Charlies Engel
6538,21134,John Slattery,Cravely
6538,50347,Rachel Nichols,Charlies Engel
6538,18917,Erick Avari,Avi Perlman
6538,42515,Cyia Batten,Stacey
10127,35091,Scott Grimes,Brad Brown
10127,157054,Liane Curtis,Megan Morgan
10127,12852,Barry Corbin,Harv
10127,35092,Don Keith Opper,Charlie McFadden
10127,7401,Lin Shaye,Sally
10127,42362,Eddie Deezen,Hungry Heifer Manager
10127,19260,Terrence Mann,Ug
10127,63902,Roxanne Kernohan,Lee
10127,36221,Sam Anderson,Mr. Morgan
10127,79496,Douglas Rowe,Quigley
11347,18191,Amanda Donohoe,Lady Sylvia Marsh
11347,3291,Hugh Grant,Lord James D'Ampton
11347,69098,Catherine Oxenberg,Eve Trent
11347,12982,Peter Capaldi,Angus Flint
11347,3122,Sammi Davis,Mary Trent
11347,9142,Paul Brooke,Erny
11347,1239887,Chris Pitt,Kevin
11347,32161,Stratford Johns,Peters
11347,53488,Imogen Claire,Dorothy Trent
11347,93325,Christopher Gable,Joe Trent
15050,4690,Christopher Walken,Michael Brace
15050,2769,Natalie Wood,Karen Brace
15050,7071,Louise Fletcher,Lillian Reynolds
15050,19153,Cliff Robertson,Alex Terson
15050,69345,Jason Lively,Chris Brace
15050,124131,Alan Fudge,Robert Jenkins
15050,200728,Jordan Christopher,Gordy Forbes
15050,14854,Donald Hotton,Landan Marks
15050,52144,Lana Clarkson,Food Fantasy Girl
9367,20498,Carlos Gallardo,El Mariachi
9367,57470,Jaime de Hoyos,Bigotón
9367,57471,Peter Marquardt,Mauricio (Moco)
9367,1192733,Reinol Martinez,Azul
9367,1192734,Ramiro Gomez,Cantinero
9367,1293343,Consuelo Gómez,Domino
9367,1066358,Juan García,Moco's Men
9941,1733,Nick Nolte,Jerry Baskin
9941,73931,Bette Midler,Barbara Whiteman
9941,3037,Richard Dreyfuss,David 'Dave' Whiteman
9941,7430,Elizabeth Peña,Carmen
9941,22865,Little Richard,Orvis Goodnight
9941,60698,Tracy Nelson,Jenny Whiteman
9941,88519,Evan Richards,Max Whiteman
2057,11701,Angelina Jolie,Julia Russell/Bonnie Castle
2057,3131,Antonio Banderas,Luis Antonio Vargas
2057,21142,Gregory Itzin,Colonel Worth
2057,12536,Jack Thompson,Alan Jordan
2057,21143,Allison Mackie,Augusta Jordan
2057,21144,Joan Pringle,Sara
2057,21145,Cordelia Richards,Emily Russel
2057,11155,Thomas Jane,Walter Downs/Billy/Mephisto
2057,21166,James Haven,"Faust, On Stage"
2057,23873,Lisa Owen,Margareta - Stage
11231,23915,Pat Morita,Sgt. Kesuke Miyagi
11231,448,Hilary Swank,Julie Pierce
11231,11086,Michael Ironside,Colonel Dugan
11231,20276,Constance Towers,Louisa Pierce
11231,227199,Chris Conrad,Eric McGowen
11231,1080062,Arsenio 'Sonny' Trinidad,Abbot
11231,112150,Michael Cavalieri,Ned
11231,27740,Walton Goggins,Charlie
11231,1217015,Jim Ishida,Tall Monk
11231,129463,Rodney Kageyama,Monk
354216,58019,Ethan Embry,Jesse
354216,50346,Shiri Appleby,Astrid
354216,1087747,Kiara Glasco,Zooey
354216,3201,Pruitt Taylor Vince,Ray
354216,1496554,Oryan West,Deputy Hernandez
354216,2221,Leland Orser,TV Preacher
354216,34842,Tony Amendola,Leonard
354216,197857,Craig Nigh,Realtor
354216,994259,Marco Perella,Sgt. Investigator Davis
354216,1141380,Mylinda Royer,Deputy Winnie
