movie_id,director
96159,Basu Chatterjee
85013,Peter R. Hunt
78,Ridley Scott
10567,Ralph Zondag
10567,Eric Leighton
25,Sam Mendes
7511,Tony Goldwyn
69668,Jim Sheridan
10549,Kenneth Branagh
2009,Cristian Mungiu
18070,Alexander Gruszynski
246080,Kevin Macdonald
9689,Woody Allen
9967,Ted Kotcheff
10238,Ingmar Bergman
14745,Mickey Liddell
104755,Rob Zombie
6538,Mike Nichols
10127,Mick Garris
11347,Ken Russell
15050,Douglas Trumbull
9367,Robert Rodriguez
9941,Paul Mazursky
2057,Michael Cristofer
11231,Christopher Cain
354216,Sean Byrne
354216,Sean Byrne
2007,George Miller
71254,Jonah Loop
3981,Nancy Meyers
263109,Mark Burton
263109,Richard Starzack
6073,Gore Verbinski
25670,Alfred Hitchcock
2123,Bobby Farrelly
2123,Peter Farrelly
12834,Tim Blake Nelson
82881,Byron Howard
82881,Nathan Greno
281007,Knut Andersen
12416,Ole Bornedal
4597,Nimród Antal
2310,Robert Zemeckis
10806,Frank Oz
257346,Kenichi Shimizu
9410,Alfonso Cuarón
13696,Michael Curtiz
31417,Georges Franju
9022,Jonathan Levine
60170,Geoffrey Sax
59678,Joe Cornish
8416,Bernardo Bertolucci
11615,Alan Parker
445993,James Nunn
791,Rupert Wainwright
9932,Harold Ramis
277154,Roel Reiné
14002,Ron Fricke
7183,James Foley
11619,David Bowers
11619,Sam Fell
117974,Ben Wheatley
85545,Małgorzata Szumowska
75595,Elgin James
117251,Roland Emmerich
12620,Fred Wolf
847,Ron Howard
8845,Andrew Davis
22230,Brad Anderson
7555,Sylvester Stallone
389995,Juan Taratuto
325133,Nicholas Stoller
126277,Jen Soska
126277,Sylvia Soska
152790,Phil Alden Robinson
273641,Jeff Tremaine
11901,Clint Eastwood
23398,Betty Thomas
451955,François Ozon
11967,Christopher Cain
25562,Michael Hoffman
20829,Judd Apatow
12606,Arlene Sanford
2252,David Cronenberg
204082,Gary Fleder
28124,Jay Sandrich
25754,Donald P. Borchers
168530,Tim Story
8321,Martin McDonagh
19794,Lara Shapiro
21876,Mark Robson
535,Adrian Lyne
8487,Barry Sonnenfeld
548,Akira Kurosawa
10610,Gordon Chan
1939,Otto Preminger
2924,Ron Howard
3085,Howard Hawks
9603,Amy Heckerling
14166,Marcos Siega
22004,Walter Hill
11443,Albert Hughes
11443,Allen Hughes
11069,S. S. Wilson
9981,Jesse Dylan
509,Roger Michell
19213,William Heins
2567,Martin Scorsese
1694,Stuart Gordon
14172,Philippe Martinez
48231,David Cronenberg
17360,John Huston
381289,Lasse Hallström
8836,Chris Carter
381040,Sophie Goodhart
79,Zhang Yimou
2246,Harold Becker
11596,Wes Craven
15472,Niels Arden Oplev
82424,Angus MacLane
51540,Seth Gordon
342737,Mike Mills
24405,Dennis Hopper
9417,Pat Proft
2486,Stefen Fangmeier
50388,Kazuyoshi Katayama
849,Peter Yates
8467,Peter Farrelly
8467,Bobby Farrelly
47533,Brian Levant
36819,Terry Gilliam
68,Terry Gilliam
31880,J.B. Rogers
11507,Brian De Palma
12783,Saul Dibb
10112,Wolfgang Reitherman
27582,Simon West
9350,Renny Harlin
107985,Edgar Wright
1683,Stephen Hopkins
902,Jean-Pierre Jeunet
902,Marc Caro
10060,Jim Sheridan
33909,Oliver Stone
22152,Derick Martini
8356,Leo McCarey
10413,Robert Harmon
2756,James Cameron
402529,Benny Boom
553,Lars von Trier
2100,Rod Lurie
13811,Alex Proyas
10957,Ted Berman
10957,Richard Rich
11283,Kirk Jones
619,Mick Jackson
935,Stanley Kubrick
57214,Nima Nourizadeh
11864,Wolfgang Petersen
5825,Jeremiah S. Chechik
12150,Harold Becker
11398,Christian Duguay
407448,Kathryn Bigelow
13391,Fumihiko Sori
45612,Duncan Jones
28260,Brian Yuzna
9339,Frank Coraci
2088,Peter Medak
11652,Ericson Core
37137,David Zucker
242409,James Kent
26301,Stephen T. Kay
321751,Fernando León de Aranoa
10215,Peter Howitt
32657,Chris Columbus
5552,Enki Bilal
1640,Paul Haggis
14062,Gary Lennon
8741,Terrence Malick
9763,Danny Cannon
63311,Pedro Almodóvar
9292,Michael Lehmann
15945,John Carter
691,Lewis Gilbert
16300,Chris Weitz
16300,Paul Weitz
12184,Justin Chadwick
117691,Anurag Kashyap
37294,Sidney Lanfield
9587,Gillian Armstrong
4327,McG
253,Guy Hamilton
49007,Katja von Garnier
157360,Lake Bell
10796,James Wong
16672,Hiroshi Teshigahara
63579,James Marsh
699,John Glen
9663,John Carpenter
62206,Ruben Fleischer
13541,Vadim Jean
11637,Brian Levant
10201,Peyton Reed
123229,Franck Gastambide
22620,Brian Levant
11898,Robert Hamer
10432,Matt Flynn
25704,Vicky Jenson
9389,Christian Volckman
43385,Nicholas Ray
300665,Alexandre Bustillo
300665,Julien Maury
12102,Robert Benton
1970,Takashi Shimizu
28569,Elia Kazan
39451,Paul Weitz
4234,Wes Craven
96821,Paolo Taviani
96821,Vittorio Taviani
10650,Clint Eastwood
48677,Richard Franklin
63207,Juan Carlos Fresnadillo
410117,William Oldroyd
18501,Brian Taylor
18501,Mark Neveldine
37257,Billy Wilder
157353,Wally Pfister
14306,David Frankel
178809,Jeff Renfroe
99770,Laurent Tirard
26617,Bob Rafelson
903,Stuart Rosenberg
5174,Brett Ratner
25073,Sean McConville
9560,Alfonso Aráu
10447,Martin Campbell
7353,Dennis Lee
34335,Chris Shadley
9428,Wes Anderson
8968,Stephen T. Kay
85431,Sam Jaeger
10863,Richard Marquand
284674,Christian Cantamessa
1999,Todd Field
49012,Jason Winer
821,Stanley Kramer
11498,Kenneth Branagh
277547,Justin Reardon
1959,Beeban Kidron
9686,Woody Allen
9686,Francis Ford Coppola
9686,Martin Scorsese
2026,Florent-Emilio Siri
25128,Valerie Breiman
15212,Nick Lyon
52338,James Keach
37233,Sydney Pollack
437311,Hatem Khraiche
174321,Craig Zisk
18269,Darrell Rooney
18269,Jeannine Roussel
3638,Scott Hicks
8195,John Frankenheimer
2395,Thomas Langmann
2395,Frédéric Forestier
47218,Josh Radnor
612,Steven Spielberg
596,John Ford
32985,Michael J. Bassett
11395,John Pasquin
1480,Orson Welles
58151,Craig Gillespie
8092,Michael Caton-Jones
73500,Rob Hedden
49806,Greg Mottola
286565,Jake Schreier
43549,Paul Scheuring
1600,Krzysztof Kieślowski
249164,R.J. Cutler
12628,Andy Wilson
404791,Felix Herngren
404791,Måns Herngren
9327,Tom Shadyac
44629,David Michôd
97630,Kathryn Bigelow
9716,Woody Allen
5038,Woody Allen
273271,Bradley King
91551,Ian Fitzgibbon
9705,Dominic Sena
11892,Barbet Schroeder
2289,Anthony Minghella
4982,Ridley Scott
28355,Christian Alvart
86838,Martin McDonagh
51996,Jill Sprecher
4836,Matthew Vaughn
5137,Kerry Conran
15516,Wes Craven
10411,Jonathan Lynn
7862,Stefan Ruzowitzky
33831,Harold Becker
9509,Tony Scott
1583,Christian Zübert
14533,Michael Cristofer
5072,Christopher Smith
13704,Greg Beeman
9966,Danny Pang
9966,Oxide Pang Chun
13680,Andy Fickman
20704,Stan Dragoti
11603,Jeff Bleckner
31203,Laurent Tirard
26035,Nancy Bardawil
9946,Peter Hyams
2652,David Slade
121875,François Ozon
32528,Robert Dornhelm
561,Francis Lawrence
256917,Russell Crowe
10741,Emilio Estevez
9531,Richard Lester
336,Sergio Leone
404378,Roger Spottiswoode
41602,Fredrik Bond
84204,Jon Wright
15283,Isao Takahata
9927,Barry W. Blaustein
9952,Werner Herzog
6973,Paul Haggis
26505,Luc Besson
174188,Paul Middleditch
258630,Jørgen Leth
258630,Ole John
20694,Norton Virgien
20694,John Eng
21634,Russell Mulcahy
24226,Sidney Lumet
43209,Tony Jaa
43209,Panna Rittikrai
87421,David Twohy
214030,John Turturro
5165,Michelangelo Antonioni
15024,Uli Edel
249397,Lars von Trier
9614,Dennis Dugan
13333,Robert Clouse
43539,Paul Haggis
4176,Sidney Lumet
37719,Sam Wood
59006,Sebastian Gutierrez
14097,Fyodor Bondarchuk
10596,Ringo Lam
11343,Tobe Hooper
70703,William Shatner
224141,Rob Marshall
56288,Robert Rodriguez
4954,John Badham
5143,Woody Allen
298583,Ella Lemhagen
241765,Brian A Miller
10054,Robert Rodriguez
23194,John Sturges
70435,Steven Soderbergh
78215,Petter Næss
10616,Wei Tung
16007,Shusuke Kaneko
14405,Raja Gosnell
10569,Woody Allen
10534,Ridley Scott
6972,Baz Luhrmann
300441,Tim Hill
291869,Justin Kelly
18976,Dick Lowry
9320,Jeremiah S. Chechik
2280,Penny Marshall
14859,Todd Kessler
458506,Jake Szymanski
111237,Karen Shakhnazarov
293771,Zach Lipovsky
206408,Cédric Klapisch
10603,Sam Weisman
57825,Gurinder Chadha
29235,Roger Corman
354859,Terry George
12201,Martin Campbell
802,Stanley Kubrick
10629,Joel Schumacher
14819,Steven Brill
10196,M. Night Shyamalan
222899,Steve Pink
8280,Abdellatif Kechiche
70578,Joel Schumacher
3132,Joel Schumacher
88912,John Cassavetes
200,Jonathan Frakes
2011,Vincent Paronnaud
2011,Marjane Satrapi
261392,Nima Nourizadeh
58857,Takashi Miike
17457,Dante Lam
45054,Roland Joffé
1833,Chris Columbus
88794,Clint Eastwood
183011,Jay Oliva
283350,Chris Evans
1715,Lasse Hallström
