movie_id,genre
96159,Comedy
96159,Drama
96159,Romance
85013,Science Fiction
78,Science Fiction
78,Drama
78,Thriller
10567,Animation
10567,Family
25,Drama
25,War
7511,Comedy
7511,Drama
7511,Romance
69668,Drama
69668,Thriller
69668,Mystery
10549,Drama
2009,Drama
18070,Action
246080,Adventure
9689,Comedy
9689,Drama
9967,Action
9967,Adventure
9967,Drama
9967,Thriller
10238,Drama
14745,Drama
14745,Horror
104755,Horror
104755,Thriller
6538,Comedy
6538,Drama
6538,History
10127,Comedy
10127,Horror
10127,Science Fiction
10127,Thriller
11347,Comedy
11347,Horror
15050,Science Fiction
15050,Thriller
9367,Action
9367,Crime
9367,Thriller
9941,Comedy
2057,Thriller
11231,Adventure
354216,Horror
354216,Horror
2007,Drama
71254,Action
71254,Thriller
71254,Science Fiction
3981,Comedy
3981,Romance
263109,Family
263109,Animation
263109,Comedy
263109,Adventure
6073,Action
6073,Comedy
6073,Crime
6073,Romance
25670,Mystery
25670,Thriller
25670,War
2123,Comedy
12834,Comedy
12834,Crime
12834,Drama
12834,Thriller
82881,Animation
82881,Comedy
82881,Action
82881,Family
281007,Drama
12416,Thriller
12416,Comedy
4597,Action
4597,Crime
4597,Drama
4597,Thriller
2310,Adventure
2310,Action
2310,Animation
10806,Comedy
10806,Romance
257346,Animation
257346,Science Fiction
257346,Action
9410,Comedy
9410,Drama
9410,Romance
13696,Drama
13696,Action
13696,Crime
31417,Drama
31417,Horror
31417,Thriller
9022,Horror
9022,Mystery
9022,Thriller
60170,Drama
60170,Romance
59678,Action
59678,Comedy
59678,Science Fiction
8416,Drama
11615,Drama
11615,Thriller
11615,Crime
445993,Action
791,Horror
791,Thriller
9932,Comedy
9932,Crime
277154,Adventure
277154,Drama
277154,History
14002,Documentary
7183,Crime
7183,Drama
7183,Mystery
7183,Thriller
11619,Adventure
11619,Animation
11619,Comedy
11619,Family
117974,Comedy
117974,Crime
117974,Adventure
85545,Drama
85545,Romance
75595,Drama
117251,Action
117251,Drama
117251,Thriller
12620,Romance
12620,Comedy
847,Adventure
847,Drama
847,Action
8845,Action
8845,Thriller
22230,Comedy
22230,Romance
22230,Science Fiction
7555,Action
7555,Thriller
389995,Comedy
389995,Romance
325133,Comedy
126277,Horror
126277,Thriller
152790,Drama
152790,Comedy
273641,Comedy
11901,Western
23398,Comedy
23398,Family
23398,Animation
23398,Fantasy
23398,Music
451955,Thriller
11967,Crime
11967,Action
11967,Adventure
11967,Drama
11967,Western
25562,Comedy
25562,Drama
25562,Romance
20829,Comedy
20829,Drama
12606,Comedy
2252,Thriller
2252,Crime
2252,Mystery
204082,Action
204082,Thriller
28124,Comedy
28124,Romance
25754,Drama
25754,Horror
25754,Thriller
168530,Action
168530,Comedy
8321,Comedy
8321,Drama
8321,Crime
19794,Comedy
21876,Action
21876,Drama
21876,History
21876,Thriller
21876,War
535,Drama
535,Music
535,Romance
8487,Action
8487,Adventure
8487,Comedy
8487,Science Fiction
8487,Western
548,Crime
548,Drama
548,Mystery
10610,Thriller
10610,Fantasy
10610,Action
10610,Comedy
1939,Drama
1939,Mystery
2924,Action
2924,Crime
2924,Drama
2924,Mystery
2924,Thriller
3085,Comedy
3085,Drama
9603,Comedy
9603,Drama
9603,Romance
14166,Comedy
14166,Drama
22004,Action
22004,Crime
22004,Thriller
11443,Action
11443,Crime
11443,Drama
11443,History
11069,Horror
11069,Action
11069,Comedy
11069,Science Fiction
9981,Romance
9981,Comedy
9981,Family
509,Romance
509,Comedy
509,Drama
19213,Comedy
2567,Drama
1694,Science Fiction
1694,Comedy
1694,Horror
14172,Action
14172,Adventure
14172,Thriller
48231,Drama
48231,Thriller
17360,Action
17360,Drama
381289,Comedy
381289,Drama
381289,Family
381289,Fantasy
8836,Drama
8836,Mystery
8836,Science Fiction
8836,Thriller
381040,Comedy
381040,Drama
381040,Romance
79,Drama
79,Adventure
79,Action
79,History
2246,Drama
2246,Crime
11596,Horror
11596,Thriller
11596,Mystery
11596,Fantasy
15472,Drama
15472,Thriller
15472,Crime
15472,Mystery
82424,Animation
82424,Family
51540,Comedy
51540,Crime
342737,Drama
24405,Comedy
24405,Romance
9417,Action
9417,Adventure
9417,Comedy
2486,Fantasy
2486,Action
2486,Adventure
2486,Family
50388,Fantasy
50388,Animation
50388,Science Fiction
849,Fantasy
849,Action
849,Adventure
8467,Comedy
47533,Mystery
47533,Fantasy
47533,Comedy
47533,Adventure
36819,Family
36819,Fantasy
36819,Science Fiction
36819,Adventure
36819,Comedy
68,Comedy
68,Science Fiction
31880,Comedy
11507,Crime
11507,Mystery
11507,Horror
11507,Thriller
12783,Drama
12783,History
12783,Romance
10112,Animation
10112,Comedy
10112,Family
10112,Adventure
27582,Action
